j_i: 0, vi: 590, bitPtr: 112, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 608, bitPtr: 111, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 609, bitPtr: 111, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 610, bitPtr: 111, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 611, bitPtr: 111, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 613, bitPtr: 111, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 614, bitPtr: 111, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 616, bitPtr: 223, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 617, bitPtr: 223, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 618, bitPtr: 223, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 619, bitPtr: 223, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 620, bitPtr: 223, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 622, bitPtr: 223, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 623, bitPtr: 223, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 624, bitPtr: 1, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 633, bitPtr: 50, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 636, bitPtr: 50, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 637, bitPtr: 50, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 672, bitPtr: 243, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 673, bitPtr: 243, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 676, bitPtr: 243, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 677, bitPtr: 243, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 678, bitPtr: 243, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
